retriever,modelo,criterio,pergunta_idx,n_pos,posto_entropia_media,posto_similaridade,posto_logprob_medio_referencia,posto_sonda_p_sim_norm,posto_sobreposicao_lexical,postoSUF_entropia_media,postoSUF_similaridade,postoSUF_logprob_medio_referencia,postoSUF_sonda_p_sim_norm,postoSUF_sobreposicao_lexical,estrato
e5small,gpt-oss:20b,regex,20,10,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,regex,21,10,3,10,1,1,1,3.0,10.0,1.0,1.0,1.0,B_reposicionado
e5small,gpt-oss:20b,regex,22,10,1,1,1,1,2,1.0,1.0,1.0,1.0,2.0,A_top10_natural
e5small,gpt-oss:20b,regex,23,10,10,10,1,2,2,10.0,10.0,1.0,2.0,2.0,A_top10_natural
e5small,gpt-oss:20b,regex,24,10,6,1,1,2,1,6.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,regex,25,10,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,regex,26,10,10,2,1,1,1,10.0,2.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,regex,27,10,9,10,9,1,1,9.0,1.0,9.0,1.0,1.0,B_reposicionado
e5small,gpt-oss:20b,regex,28,10,6,1,1,1,1,6.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,regex,29,10,10,10,1,1,1,10.0,10.0,1.0,1.0,1.0,B_reposicionado
e5small,gpt-oss:20b,regex,30,10,10,10,1,1,1,10.0,10.0,1.0,1.0,1.0,B_reposicionado
e5small,gpt-oss:20b,regex,31,10,6,3,1,4,1,1.0,2.0,3.0,2.0,3.0,A_top10_natural
e5small,gpt-oss:20b,regex,32,10,5,1,1,2,2,3.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,regex,33,10,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,regex,34,10,10,1,1,2,1,9.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,regex,35,10,1,10,7,4,1,1.0,2.0,5.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,regex,36,10,10,3,1,1,1,10.0,3.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,regex,37,10,8,8,10,8,8,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,regex,38,10,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,regex,39,10,6,10,2,2,2,4.0,4.0,1.0,1.0,1.0,B_reposicionado
e5small,gpt-oss:20b,regex,40,10,9,1,1,1,1,9.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,regex,41,10,4,1,1,1,1,10.0,1.0,1.0,2.0,1.0,A_top10_natural
e5small,gpt-oss:20b,regex,42,10,4,1,1,1,1,4.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,regex,43,10,10,3,1,1,1,,,,,,A_top10_natural
e5small,gpt-oss:20b,regex,44,10,1,9,1,1,1,1.0,9.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,regex,45,10,7,1,1,1,1,7.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,regex,46,10,1,10,1,1,1,1.0,10.0,1.0,1.0,1.0,B_reposicionado
e5small,gpt-oss:20b,regex,47,10,2,7,1,2,1,1.0,1.0,1.0,2.0,1.0,A_top10_natural
e5small,gpt-oss:20b,regex,48,10,2,1,1,1,1,2.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,regex,49,10,9,1,2,1,1,8.0,2.0,1.0,1.0,2.0,A_top10_natural
e5small,gpt-oss:20b,regex,50,10,1,1,1,1,1,10.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,regex,51,10,1,10,7,2,6,10.0,1.0,1.0,1.0,1.0,B_reposicionado
e5small,gpt-oss:20b,regex,52,10,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,regex,53,10,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,regex,54,10,2,1,1,1,1,2.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,regex,55,10,10,4,1,1,1,10.0,4.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,regex,56,10,1,1,9,1,2,1.0,1.0,4.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,regex,57,10,7,10,1,1,1,2.0,1.0,1.0,1.0,1.0,B_reposicionado
e5small,gpt-oss:20b,regex,58,10,7,1,1,1,1,7.0,1.0,1.0,3.0,1.0,A_top10_natural
e5small,gpt-oss:20b,regex,59,10,1,2,1,1,1,1.0,2.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,regex,60,10,10,10,1,2,2,9.0,1.0,1.0,2.0,1.0,B_reposicionado
e5small,gpt-oss:20b,regex,61,10,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,regex,62,10,9,10,1,1,1,9.0,10.0,1.0,1.0,1.0,B_reposicionado
e5small,gpt-oss:20b,regex,63,10,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,regex,64,10,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,regex,65,10,1,5,1,1,1,1.0,5.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,regex,66,10,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,regex,67,10,7,3,1,2,2,7.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,regex,68,10,3,1,1,1,1,3.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,regex,69,10,10,1,1,1,1,,,,,,A_top10_natural
e5small,gpt-oss:20b,regex,70,10,1,1,1,1,2,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,regex,71,10,10,1,9,2,1,10.0,1.0,9.0,2.0,1.0,A_top10_natural
e5small,gpt-oss:20b,regex,72,10,10,1,1,1,1,10.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,regex,73,10,1,1,1,1,1,1.0,1.0,2.0,1.0,1.0,A_top10_natural
e5small,mistral-small3.1:latest,json,0,10,4,1,1,1,1,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,mistral-small3.1:latest,json,1,10,10,1,1,1,1,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,mistral-small3.1:latest,json,2,10,10,2,1,3,1,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,mistral-small3.1:latest,json,3,10,10,3,1,1,1,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,mistral-small3.1:latest,json,4,10,9,1,1,1,1,9.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,mistral-small3.1:latest,json,5,10,10,1,1,1,1,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,mistral-small3.1:latest,json,6,10,9,1,1,3,1,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,mistral-small3.1:latest,json,7,10,5,2,1,1,1,5.0,2.0,1.0,1.0,1.0,A_top10_natural
e5small,mistral-small3.1:latest,json,8,10,10,1,1,1,1,10.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,mistral-small3.1:latest,json,9,10,9,10,2,2,3,9.0,4.0,1.0,1.0,1.0,B_reposicionado
e5small,mistral-small3.1:latest,json,10,10,9,3,1,1,1,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,mistral-small3.1:latest,json,11,10,10,10,1,1,1,10.0,10.0,1.0,1.0,1.0,B_reposicionado
e5small,mistral-small3.1:latest,json,12,10,10,10,1,1,1,1.0,1.0,1.0,1.0,1.0,B_reposicionado
e5small,mistral-small3.1:latest,json,13,10,10,1,1,1,1,10.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,mistral-small3.1:latest,json,14,10,9,1,1,1,1,9.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,mistral-small3.1:latest,json,15,10,10,1,1,1,1,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,mistral-small3.1:latest,json,16,10,10,2,2,1,2,,,,,,A_top10_natural
e5small,mistral-small3.1:latest,json,17,10,10,1,1,1,1,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,mistral-small3.1:latest,json,18,10,10,1,1,1,1,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,mistral-small3.1:latest,json,19,10,10,4,2,2,1,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,mistral-small3.1:latest,json,20,10,10,1,1,1,1,10.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,mistral-small3.1:latest,json,21,10,10,10,1,1,1,1.0,1.0,1.0,1.0,1.0,B_reposicionado
e5small,mistral-small3.1:latest,json,22,10,10,1,1,1,2,10.0,1.0,1.0,1.0,2.0,A_top10_natural
e5small,mistral-small3.1:latest,json,23,10,10,10,1,2,2,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,mistral-small3.1:latest,json,24,10,8,1,1,1,1,10.0,4.0,2.0,2.0,2.0,A_top10_natural
e5small,mistral-small3.1:latest,json,25,10,10,1,1,1,1,10.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,mistral-small3.1:latest,json,26,10,10,2,1,1,1,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,mistral-small3.1:latest,json,27,10,10,10,1,1,1,1.0,1.0,1.0,1.0,1.0,B_reposicionado
e5small,mistral-small3.1:latest,json,28,10,10,1,1,1,1,10.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,mistral-small3.1:latest,json,29,10,10,10,1,1,1,1.0,1.0,1.0,1.0,1.0,B_reposicionado
e5small,mistral-small3.1:latest,json,30,10,10,10,1,1,1,1.0,1.0,1.0,1.0,1.0,B_reposicionado
e5small,mistral-small3.1:latest,json,31,10,8,3,1,5,1,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,mistral-small3.1:latest,json,32,10,8,1,1,1,2,6.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,mistral-small3.1:latest,json,33,10,9,1,1,1,1,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,mistral-small3.1:latest,json,34,10,9,1,1,2,1,9.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,mistral-small3.1:latest,json,35,10,7,10,1,7,1,6.0,2.0,2.0,1.0,2.0,A_top10_natural
e5small,mistral-small3.1:latest,json,36,10,10,3,1,1,1,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,mistral-small3.1:latest,json,37,10,8,8,8,8,8,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,mistral-small3.1:latest,json,38,10,10,1,1,1,1,10.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,mistral-small3.1:latest,json,39,10,8,10,2,2,2,1.0,1.0,1.0,1.0,1.0,B_reposicionado
e5small,mistral-small3.1:latest,json,40,10,10,1,1,1,1,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,mistral-small3.1:latest,json,41,10,9,1,1,1,1,9.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,mistral-small3.1:latest,json,42,10,10,1,1,1,1,10.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,mistral-small3.1:latest,json,43,10,10,3,1,1,1,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,mistral-small3.1:latest,json,44,10,10,9,1,1,1,10.0,9.0,1.0,1.0,1.0,A_top10_natural
e5small,mistral-small3.1:latest,json,45,10,10,1,1,1,1,10.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,mistral-small3.1:latest,json,46,10,10,10,1,1,1,10.0,10.0,1.0,1.0,1.0,B_reposicionado
e5small,mistral-small3.1:latest,json,47,10,7,7,1,1,1,5.0,2.0,1.0,1.0,1.0,A_top10_natural
e5small,mistral-small3.1:latest,json,48,10,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,mistral-small3.1:latest,json,49,10,8,1,1,2,1,,,,,,A_top10_natural
e5small,mistral-small3.1:latest,json,50,10,9,1,1,1,1,9.0,1.0,2.0,1.0,1.0,A_top10_natural
e5small,mistral-small3.1:latest,json,51,10,10,10,3,2,6,1.0,1.0,1.0,1.0,1.0,B_reposicionado
e5small,mistral-small3.1:latest,json,52,10,10,1,1,1,1,10.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,mistral-small3.1:latest,json,53,10,9,1,1,1,1,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,mistral-small3.1:latest,json,54,10,10,1,1,1,1,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,mistral-small3.1:latest,json,55,10,10,4,1,1,1,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,mistral-small3.1:latest,json,56,10,9,1,1,1,2,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,mistral-small3.1:latest,json,57,10,10,10,1,1,1,10.0,10.0,1.0,1.0,1.0,B_reposicionado
e5small,mistral-small3.1:latest,json,58,10,8,1,1,1,1,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,mistral-small3.1:latest,json,59,10,7,2,1,1,1,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,mistral-small3.1:latest,json,60,10,8,10,1,2,2,1.0,1.0,1.0,1.0,1.0,B_reposicionado
e5small,mistral-small3.1:latest,json,61,10,8,1,1,1,1,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,mistral-small3.1:latest,json,62,10,10,10,1,1,1,1.0,1.0,1.0,1.0,1.0,B_reposicionado
e5small,mistral-small3.1:latest,json,63,10,10,1,1,1,1,10.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,mistral-small3.1:latest,json,64,10,10,1,1,1,1,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,mistral-small3.1:latest,json,65,10,10,5,1,1,1,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,mistral-small3.1:latest,json,66,10,10,1,1,1,1,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,mistral-small3.1:latest,json,67,10,10,3,2,1,2,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,mistral-small3.1:latest,json,68,10,10,1,1,1,1,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,mistral-small3.1:latest,json,69,10,10,1,1,1,1,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,mistral-small3.1:latest,json,70,10,10,1,1,1,2,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,mistral-small3.1:latest,json,71,10,10,1,1,1,1,10.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,mistral-small3.1:latest,json,72,10,10,1,1,1,1,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,mistral-small3.1:latest,json,73,10,9,1,1,1,1,10.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,mistral-small3.1:latest,regex,0,10,4,1,1,1,1,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,mistral-small3.1:latest,regex,1,10,7,1,1,1,1,7.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,mistral-small3.1:latest,regex,2,10,1,2,1,3,1,1.0,2.0,1.0,3.0,1.0,A_top10_natural
e5small,mistral-small3.1:latest,regex,3,10,10,3,1,1,1,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,mistral-small3.1:latest,regex,4,10,9,1,1,1,1,2.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,mistral-small3.1:latest,regex,5,10,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,mistral-small3.1:latest,regex,6,10,1,1,1,3,1,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,mistral-small3.1:latest,regex,7,10,1,2,1,1,1,1.0,2.0,1.0,1.0,1.0,A_top10_natural
e5small,mistral-small3.1:latest,regex,8,10,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,mistral-small3.1:latest,regex,9,10,2,10,2,2,3,1.0,4.0,1.0,1.0,1.0,B_reposicionado
